listing_id,Property_Title,Price_Raw,Location_Info,Sector,Room_Number,Area_m2,Link,Scraped_At,Page
apartament-2-camere-aleea-pantelimon-14-IDFUC2,Apartament 2 camere - Aleea Pantelimon 14,42 000 €,"Aleea Pantelimon, Pantelimon, Sectorul 2, Bucuresti",2,2,28.0,https://www.storia.ro/ro/oferta/apartament-2-camere-aleea-pantelimon-14-IDFUC2,2025-12-27T16:42:51,17
garsonier-calea-crngai-sector-6-IDFUBQ,"Garsonieră - Calea Crângași, Sector 6",69 500 €,"Garsonieră - Calea Crângași, Sector 6",6,2,23.0,https://www.storia.ro/ro/oferta/garsonier-calea-crngai-sector-6-IDFUBQ,2025-12-27T16:42:54,17
drumul-taberei-bld-timisoara-3-camere-imobil-premium-IDEirf,"Drumul Taberei - Bld. Timisoara - 3 camere, Imobil Premium",167 000 €,"Drumul Valea Doftanei, Brancusi, Sectorul 6, Bucuresti",6,3,75.0,https://www.storia.ro/ro/oferta/drumul-taberei-bld-timisoara-3-camere-imobil-premium-IDEirf,2025-12-27T16:43:01,18
proprietar-duplex-3-camere-3-bi-obor-renovat-2025-lift-parcare-IDFTAJ,"PROPRIETAR - Duplex 3 Camere, 3 Băi, Obor Renovat 2025, Lift, Parcare",165 000 €,"Obor, Sectorul 2, Bucuresti",2,3,67.1,https://www.storia.ro/ro/oferta/proprietar-duplex-3-camere-3-bi-obor-renovat-2025-lift-parcare-IDFTAJ,2025-12-27T16:43:01,18
apartament-cu-teras-i-nclzire-in-pardoseala-72-mp-IDFI5X,"Apartament cu terasă și încălzire in pardoseala, 72 mp",90 000 €,"Drumul Gura Calitei, Theodor Pallady, Sectorul 3, Bucuresti",3,2,72.0,https://www.storia.ro/ro/oferta/apartament-cu-teras-i-nclzire-in-pardoseala-72-mp-IDFI5X,2025-12-27T16:43:02,18
3-camere-stadionul-ghencea-orientare-estica-IDFUBE,3 Camere - Stadionul Ghencea - Orientare estica,127 000 €,"Drumul Taberei, Sectorul 6, Bucuresti",6,3,68.0,https://www.storia.ro/ro/oferta/3-camere-stadionul-ghencea-orientare-estica-IDFUBE,2025-12-27T16:43:02,18
avans-doar-5325-euro-3-camere-parc-tudor-arghezi-postalionului-IDFUBe,Avans doar 5325 euro - 3 camere - Parc Tudor Arghezi - Postalionului,106 500 €,"Strada Postalionului, IMGB, Sectorul 4, Bucuresti",4,3,70.15,https://www.storia.ro/ro/oferta/avans-doar-5325-euro-3-camere-parc-tudor-arghezi-postalionului-IDFUBe,2025-12-27T16:43:02,18
sector-4-bd-alexandru-obregia-2-camere-decomandat-disponibil-IDFUB9,Sector 4! Bd Alexandru Obregia - 2 Camere decomandat - disponibil,72 000 €,Sector 4! Bd Alexandru Obregia - 2 Camere decomandat - disponibil,4,2,49.6,https://www.storia.ro/ro/oferta/sector-4-bd-alexandru-obregia-2-camere-decomandat-disponibil-IDFUB9,2025-12-27T16:43:02,18
apartament-3-camere-metrou-tefan-cel-mare-etaj-5-7-IDFKDG,"Apartament 3 camere – Metrou Ștefan cel Mare, etaj 5/7",125 000 €,"Soseaua Stefan cel Mare, Stefan cel Mare, Sectorul 2, Bucuresti",2,3,60.0,https://www.storia.ro/ro/oferta/apartament-3-camere-metrou-tefan-cel-mare-etaj-5-7-IDFKDG,2025-12-27T16:43:02,18
apartament-3-camere-luica-3-min-stb-dezvoltator-IDFUB3,Apartament 3 camere Luica 3 min Stb Dezvoltator,96 000 €,"IMGB, Sectorul 4, Bucuresti",4,3,73.0,https://www.storia.ro/ro/oferta/apartament-3-camere-luica-3-min-stb-dezvoltator-IDFUB3,2025-12-27T16:43:02,18
oferta-noua-bd-metalurgiei-parc-tudor-arghezi-2-camere-IDFUB2,Oferta noua ! Bd. Metalurgiei - Parc Tudor Arghezi - 2 camere -,88 000 €,"Strada Dealul Bradului, IMGB, Sectorul 4, Bucuresti",4,2,49.8,https://www.storia.ro/ro/oferta/oferta-noua-bd-metalurgiei-parc-tudor-arghezi-2-camere-IDFUB2,2025-12-27T16:43:02,18
